sep=,
timestamp,day_ahead_prices_euro-per-MWh,pv_production_W,feed_in_tariff_euro-per-kWh,grid_costs_euro-per-kWh
01.06.2024 00:00:00,"88,58","0,00","0,08858","0,16148"
01.06.2024 00:15:00,"88,58","0,00","0,08858","0,16148"
01.06.2024 00:30:00,"88,58","0,00","0,08858","0,16148"
01.06.2024 00:45:00,"88,58","0,00","0,08858","0,16148"
01.06.2024 01:00:00,"88,82","0,00","0,08882","0,16172"
01.06.2024 01:15:00,"88,82","0,00","0,08882","0,16172"
01.06.2024 01:30:00,"88,82","0,00","0,08882","0,16172"
01.06.2024 01:45:00,"88,82","0,00","0,08882","0,16172"
01.06.2024 02:00:00,"79,66","0,00","0,07966","0,15256"
01.06.2024 02:15:00,"79,66","0,00","0,07966","0,15256"
01.06.2024 02:30:00,"79,66","0,00","0,07966","0,15256"
01.06.2024 02:45:00,"79,66","0,00","0,07966","0,15256"
01.06.2024 03:00:00,"72,14","0,00","0,0771","0,14504"
01.06.2024 03:15:00,"72,14","0,00","0,0771","0,14504"
01.06.2024 03:30:00,"72,14","0,00","0,0771","0,14504"
01.06.2024 03:45:00,"72,14","0,00","0,0771","0,14504"
01.06.2024 04:00:00,"71,87","0,00","0,0771","0,14477"
01.06.2024 04:15:00,"71,87","0,00","0,0771","0,14477"
01.06.2024 04:30:00,"71,87","0,00","0,0771","0,14477"
01.06.2024 04:45:00,"71,87","0,00","0,0771","0,14477"
01.06.2024 05:00:00,"71,83","0,00","0,0771","0,14473"
01.06.2024 05:15:00,"71,83","0,00","0,0771","0,14473"
01.06.2024 05:30:00,"71,83","9,80","0,0771","0,14473"
01.06.2024 05:45:00,"71,83","60,73","0,0771","0,14473"
01.06.2024 06:00:00,"75,20","239,01","0,0771","0,2379"
01.06.2024 06:15:00,"75,20","264,48","0,0771","0,2379"
01.06.2024 06:30:00,"75,20","180,24","0,0771","0,2379"
01.06.2024 06:45:00,"75,20","350,68","0,0771","0,2379"
01.06.2024 07:00:00,"74,40","605,37","0,0771","0,2371"
01.06.2024 07:15:00,"74,40","724,87","0,0771","0,2371"
01.06.2024 07:30:00,"74,40","1.097,10","0,0771","0,2371"
01.06.2024 07:45:00,"74,40","1.780,83","0,0771","0,2371"
01.06.2024 08:00:00,"72,49","1.780,83","0,0771","0,23519"
01.06.2024 08:15:00,"72,49","1.780,83","0,0771","0,23519"
01.06.2024 08:30:00,"72,49","1.923,85","0,0771","0,23519"
01.06.2024 08:45:00,"72,49","2.076,66","0,0771","0,23519"
01.06.2024 09:00:00,"61,35","1.949,32","0,0771","0,22405"
01.06.2024 09:15:00,"61,35","3.197,27","0,0771","0,22405"
01.06.2024 09:30:00,"61,35","3.935,86","0,0771","0,22405"
01.06.2024 09:45:00,"61,35","5.093,70","0,0771","0,22405"
01.06.2024 10:00:00,"47,16","6.265,25","0,0771","0,20986"
01.06.2024 10:15:00,"47,16","8.120,53","0,0771","0,20986"
01.06.2024 10:30:00,"47,16","9.487,99","0,0771","0,20986"
01.06.2024 10:45:00,"47,16","9.625,13","0,0771","0,20986"
01.06.2024 11:00:00,"41,86","10.224,61","0,0771","0,20456"
01.06.2024 11:15:00,"41,86","10.551,79","0,0771","0,20456"
01.06.2024 11:30:00,"41,86","10.126,66","0,0771","0,20456"
01.06.2024 11:45:00,"41,86","12.583,39","0,0771","0,20456"
01.06.2024 12:00:00,"21,21","11.989,78","0,0771","0,18391"
01.06.2024 12:15:00,"21,21","13.327,85","0,0771","0,18391"
01.06.2024 12:30:00,"21,21","15.426,06","0,0771","0,18391"
01.06.2024 12:45:00,"21,21","14.658,09","0,0771","0,18391"
01.06.2024 13:00:00,"7,44","15.347,70","0,0771","0,17014"
01.06.2024 13:15:00,"7,44","14.162,43","0,0771","0,17014"
01.06.2024 13:30:00,"7,44","15.522,06","0,0771","0,17014"
01.06.2024 13:45:00,"7,44","14.881,43","0,0771","0,17014"
01.06.2024 14:00:00,"2,92","15.768,91","0,0771","0,16562"
01.06.2024 14:15:00,"2,92","15.788,50","0,0771","0,16562"
01.06.2024 14:30:00,"2,92","15.621,97","0,0771","0,16562"
01.06.2024 14:45:00,"2,92","13.772,57","0,0771","0,16562"
01.06.2024 15:00:00,"5,80","11.439,27","0,0771","0,2179"
01.06.2024 15:15:00,"5,80","8.437,90","0,0771","0,2179"
01.06.2024 15:30:00,"5,80","10.765,33","0,0771","0,2179"
01.06.2024 15:45:00,"5,80","14.101,70","0,0771","0,2179"
01.06.2024 16:00:00,"13,00","13.531,60","0,0771","0,2251"
01.06.2024 16:15:00,"13,00","11.817,37","0,0771","0,2251"
01.06.2024 16:30:00,"13,00","11.186,54","0,0771","0,2251"
01.06.2024 16:45:00,"13,00","8.230,24","0,0771","0,2251"
01.06.2024 17:00:00,"52,08","9.354,77","0,0771","0,26418"
01.06.2024 17:15:00,"52,08","8.943,35","0,0771","0,26418"
01.06.2024 17:30:00,"52,08","7.999,06","0,0771","0,26418"
01.06.2024 17:45:00,"52,08","7.832,54","0,0771","0,26418"
01.06.2024 18:00:00,"67,50","7.289,86","0,0771","0,2796"
01.06.2024 18:15:00,"67,50","6.024,27","0,0771","0,2796"
01.06.2024 18:30:00,"67,50","4.617,63","0,0771","0,2796"
01.06.2024 18:45:00,"67,50","3.796,76","0,0771","0,2796"
01.06.2024 19:00:00,"81,90","1.680,92","0,0819","0,294"
01.06.2024 19:15:00,"81,90","916,87","0,0819","0,294"
01.06.2024 19:30:00,"81,90","934,50","0,0819","0,294"
