timestamp;day_ahead_prices_euro-per-MWh;pv_production_W;feed_in_tariff_euro-per-kWh;grid_costs_euro-per-kWh
01.06.2024 00:00;88,58;0;0,08858;0,16148
01.06.2024 00:15;88,58;0;0,08858;0,16148
01.06.2024 00:30;88,58;0;0,08858;0,16148
01.06.2024 00:45;88,58;0;0,08858;0,16148
01.06.2024 01:00;88,82;0;0,08882;0,16172
01.06.2024 01:15;88,82;0;0,08882;0,16172
01.06.2024 01:30;88,82;0;0,08882;0,16172
01.06.2024 01:45;88,82;0;0,08882;0,16172
01.06.2024 02:00;79,66;0;0,07966;0,15256
01.06.2024 02:15;79,66;0;0,07966;0,15256
01.06.2024 02:30;79,66;0;0,07966;0,15256
01.06.2024 02:45;79,66;0;0,07966;0,15256
01.06.2024 03:00;72,14;0;0,0771;0,14504
01.06.2024 03:15;72,14;0;0,0771;0,14504
01.06.2024 03:30;72,14;0;0,0771;0,14504
01.06.2024 03:45;72,14;0;0,0771;0,14504
01.06.2024 04:00;71,87;0;0,0771;0,14477
01.06.2024 04:15;71,87;0;0,0771;0,14477
01.06.2024 04:30;71,87;0;0,0771;0,14477
01.06.2024 04:45;71,87;10,84;0,0771;0,14477
01.06.2024 05:00;71,83;70,87;0,0771;0,14473
01.06.2024 05:15;71,83;211,79;0,0771;0,14473
01.06.2024 05:30;71,83;374,38;0,0771;0,14473
01.06.2024 05:45;71,83;541,97;0,0771;0,14473
01.06.2024 06:00;75,2;750,42;0,0771;0,2379
01.06.2024 06:15;75,2;1.234,86;0,0771;0,2379
01.06.2024 06:30;75,2;1.830,19;0,0771;0,2379
01.06.2024 06:45;75,2;3.007,52;0,0771;0,2379
01.06.2024 07:00;74,4;3.968,89;0,0771;0,2371
01.06.2024 07:15;74,4;4.429,15;0,0771;0,2371
01.06.2024 07:30;74,4;6.985,58;0,0771;0,2371
01.06.2024 07:45;74,4;10.726,01;0,0771;0,2371
01.06.2024 08:00;72,49;14.407,24;0,0771;0,23519
01.06.2024 08:15;72,49;15.480,34;0,0771;0,23519
01.06.2024 08:30;72,49;14.147,09;0,0771;0,23519
01.06.2024 08:45;72,49;14.922,52;0,0771;0,23519
01.06.2024 09:00;61,35;12.531,19;0,0771;0,22405
01.06.2024 09:15;61,35;15.221,86;0,0771;0,22405
01.06.2024 09:30;61,35;19.485,08;0,0771;0,22405
01.06.2024 09:45;61,35;18.616,26;0,0771;0,22405
01.06.2024 10:00;47,16;18.784,69;0,0771;0,20986
01.06.2024 10:15;47,16;19.782,75;0,0771;0,20986
01.06.2024 10:30;47,16;20.591,53;0,0771;0,20986
01.06.2024 10:45;47,16;22.068,19;0,0771;0,20986
01.06.2024 11:00;41,86;21.953,13;0,0771;0,20456
01.06.2024 11:15;41,86;21.055,13;0,0771;0,20456
01.06.2024 11:30;41,86;23.526,51;0,0771;0,20456
01.06.2024 11:45;41,86;24.589,61;0,0771;0,20456
01.06.2024 12:00;21,21;23.805,83;0,0771;0,18391
01.06.2024 12:15;21,21;26.060,43;0,0771;0,18391
01.06.2024 12:30;21,21;24.037,63;0,0771;0,18391
01.06.2024 12:45;21,21;20.238,00;0,0771;0,18391
01.06.2024 13:00;7,44;22.202,44;0,0771;0,17014
01.06.2024 13:15;7,44;25.370,04;0,0771;0,17014
01.06.2024 13:30;7,44;24.826,41;0,0771;0,17014
01.06.2024 13:45;7,44;20.907,54;0,0771;0,17014
01.06.2024 14:00;2,92;21.680,48;0,0771;0,16562
01.06.2024 14:15;2,92;23.831,68;0,0771;0,16562
01.06.2024 14:30;2,92;20.373,91;0,0771;0,16562
01.06.2024 14:45;2,92;20.958,41;0,0771;0,16562
01.06.2024 15:00;5,8;22.449,24;0,0771;0,2179
01.06.2024 15:15;5,8;21.367,80;0,0771;0,2179
01.06.2024 15:30;5,8;17.533,15;0,0771;0,2179
01.06.2024 15:45;5,8;20.174,63;0,0771;0,2179
01.06.2024 16:00;13;21.736,34;0,0771;0,2251
01.06.2024 16:15;13;19.799,42;0,0771;0,2251
01.06.2024 16:30;13;14.131,25;0,0771;0,2251
01.06.2024 16:45;13;15.001,74;0,0771;0,2251
01.06.2024 17:00;52,08;18.480,35;0,0771;0,26418
01.06.2024 17:15;52,08;15.080,11;0,0771;0,26418
01.06.2024 17:30;52,08;12.637,91;0,0771;0,26418
01.06.2024 17:45;52,08;11.543,97;0,0771;0,26418
01.06.2024 18:00;67,5;9.248,51;0,0771;0,2796
01.06.2024 18:15;67,5;6.504,48;0,0771;0,2796
01.06.2024 18:30;67,5;5.793,24;0,0771;0,2796
01.06.2024 18:45;67,5;6.545,33;0,0771;0,2796
01.06.2024 19:00;81,9;8.995,04;0,0819;0,294
01.06.2024 19:15;81,9;10.196,54;0,0819;0,294
